"shots_detailID","TableIndex","MatchID","GameWeek","Player","ForTeam","AgainstTeam","RelativeStrength","Time","ShotOutcome","AssistedBy","ShotType","ShotPosition","ShotSide","Close"
"1","0","58901","1","Dominic Calvert-Lewin","Everton","Tottenham Hotspur","-1","55","Goal","Lucas Digne","header","the box","the centre","close"
"2","1","58901","1","Ben Davies","Tottenham Hotspur","Everton","1","81","Blocked","Toby Alderweireld","left footed shot","the six yard box","the right","not close"
"3","2","58901","1","Richarlison","Everton","Tottenham Hotspur","-1","71","Blocked","Seamus Coleman","right footed shot","the box","the left","not close"
"4","3","58901","1","Andre Gomes","Everton","Tottenham Hotspur","-1","53","Blocked","Abdoulaye Doucoure","left footed shot","the box","the centre","not close"
"5","4","58901","1","Lucas Moura","Tottenham Hotspur","Everton","1","39","Blocked","Son Heung-Min","header","the box","the centre","not close"
"6","5","58901","1","Richarlison","Everton","Tottenham Hotspur","-1","31","Blocked","James Rodriguez","right footed shot","the box","the left","not close"
"7","6","58901","1","James Rodriguez","Everton","Tottenham Hotspur","-1","27","Blocked","Richarlison","right footed shot","the box","the right","not close"
"8","7","58901","1","Son Heung-Min","Tottenham Hotspur","Everton","1","26","Blocked","Dele Alli","right footed shot","the box","the left","not close"
"9","8","58901","1","Dominic Calvert-Lewin","Everton","Tottenham Hotspur","-1","84","Saved","Abdoulaye Doucoure","right footed shot","the box","the right","close"
"10","9","58901","1","Harry Kane","Tottenham Hotspur","Everton","1","81","Saved","Ben Davies","header","the box","the centre","close"
"11","10","58901","1","Seamus Coleman","Everton","Tottenham Hotspur","-1","74","Saved","Abdoulaye Doucoure","right footed shot","outside the box","N/A","close"
"12","11","58901","1","Lucas Moura","Tottenham Hotspur","Everton","1","69","Saved","Ben Davies","header","the box","the centre","close"
"13","12","58901","1","Richarlison","Everton","Tottenham Hotspur","-1","43","Saved","James Rodriguez","left footed shot","outside the box","N/A","close"
"14","13","58901","1","Matt Doherty","Tottenham Hotspur","Everton","1","42","Saved","Harry Kane","right footed shot","the six yard box","the right","close"
"15","14","58901","1","Dele Alli","Tottenham Hotspur","Everton","1","33","Saved","Son Heung-Min","right footed shot","the box","the centre","close"
"16","15","58901","1","Son Heung-Min","Tottenham Hotspur","Everton","1","3","Saved","Harry Kane","right footed shot","outside the box","N/A","close"
"17","16","58901","1","Harry Kane","Tottenham Hotspur","Everton","1","78","Miss","Son Heung-Min","header","the box","the centre","not close"
"18","17","58901","1","Richarlison","Everton","Tottenham Hotspur","-1","72","Miss","James Rodriguez","right footed shot","the box","the left","close"
"19","18","58901","1","Richarlison","Everton","Tottenham Hotspur","-1","69","Miss","James Rodriguez","right footed shot","outside the box","N/A","close"
"20","19","58901","1","Richarlison","Everton","Tottenham Hotspur","-1","52","Miss","James Rodriguez","header","the six yard box","the left","close"
"21","20","58901","1","James Rodriguez","Everton","Tottenham Hotspur","-1","51","Miss","Dominic Calvert-Lewin","left footed shot","the box","the centre","not close"
"22","21","58901","1","James Rodriguez","Everton","Tottenham Hotspur","-1","37","Miss","Abdoulaye Doucoure","left footed shot","outside the box","N/A","close"
"23","22","58901","1","Yerry Mina","Everton","Tottenham Hotspur","-1","23","Miss","N/A","right footed shot","outside the box","N/A","not close"
"24","23","58901","1","Richarlison","Everton","Tottenham Hotspur","-1","16","Miss","N/A","left footed shot","a difficult angle","the left","not close"
"25","0","58902","1","Jamie Vardy","Leicester City","West Bromwich Albion","2","84","Goal","N/A","right footed shot","penalty","N/A","close"
"26","1","58902","1","Jamie Vardy","Leicester City","West Bromwich Albion","2","74","Goal","N/A","right footed shot","penalty","N/A","close"
"27","2","58902","1","Timothy Castagne","Leicester City","West Bromwich Albion","2","56","Goal","Dennis Praet","header","very close range","N/A","close"
"28","3","58902","1","Kyle Edwards","West Bromwich Albion","Leicester City","-2","87","Blocked","N/A","right footed shot","the box","the centre","not close"
"29","4","58902","1","Harvey Barnes","Leicester City","West Bromwich Albion","2","60","Blocked","N/A","right footed shot","the box","the centre","not close"
"30","5","58902","1","Dennis Praet","Leicester City","West Bromwich Albion","2","59","Blocked","Harvey Barnes","right footed shot","outside the box","N/A","not close"
"31","6","58902","1","Darnell Furlong","West Bromwich Albion","Leicester City","-2","42","Blocked","Matheus Pereira","right footed shot","outside the box","N/A","not close"
"32","7","58902","1","Ayoze Perez","Leicester City","West Bromwich Albion","2","39","Blocked","Jamie Vardy","right footed shot","the box","the right","not close"
"33","8","58902","1","Matheus Pereira","West Bromwich Albion","Leicester City","-2","17","Blocked","N/A","left footed shot","outside the box","N/A","not close"
"34","9","58902","1","Youri Tielemans","Leicester City","West Bromwich Albion","2","64","Saved","N/A","right footed shot","outside the box","N/A","close"
"35","10","58902","1","Matheus Pereira","West Bromwich Albion","Leicester City","-2","42","Saved","Jake Livermore","left footed shot","the box","the left","close"
"36","11","58902","1","Harvey Barnes","Leicester City","West Bromwich Albion","2","32","Saved","James Justin","right footed shot","the box","the left","close"
"37","12","58902","1","Dennis Praet","Leicester City","West Bromwich Albion","2","30","Saved","N/A","left footed shot","the box","the right","close"
"38","13","58902","1","Harvey Barnes","Leicester City","West Bromwich Albion","2","30","Saved","N/A","left footed shot","the box","the centre","close"
"39","14","58902","1","Hal Robson-Kanu","West Bromwich Albion","Leicester City","-2","90+2","Miss","Grady Diangana","left footed shot","outside the box","N/A","not close"
"40","15","58902","1","Harvey Barnes","Leicester City","West Bromwich Albion","2","79","Miss","James Maddison","right footed shot","the box","the left","close"
"41","16","58902","1","Caglar Soyuncu","Leicester City","West Bromwich Albion","2","40","Miss","N/A","right footed shot","the box","the left","not close"
"42","17","58902","1","Harvey Barnes","Leicester City","West Bromwich Albion","2","32","Miss","N/A","left footed shot","the box","the left","not close"
"43","18","58902","1","Matheus Pereira","West Bromwich Albion","Leicester City","-2","25","Miss","N/A","left footed shot","outside the box","N/A","not close"
"44","19","58902","1","Grady Diangana","West Bromwich Albion","Leicester City","-2","9","Miss","Darnell Furlong","right footed shot","the six yard box","the right","close"
"45","0","58903","1","Jeff Hendrick","Newcastle United","West Ham United","0","87","Goal","Miguel Almiron","right footed shot","the box","the centre","close"
"46","1","58903","1","Callum Wilson","Newcastle United","West Ham United","0","56","Goal","Jeff Hendrick","right footed shot","very close range","N/A","close"
"47","2","58903","1","Angelo Ogbonna","West Ham United","Newcastle United","0","14","Woodwork","Mark Noble","header","the box","the centre","close"
"48","3","58903","1","Miguel Almiron","Newcastle United","West Ham United","0","90+3","Blocked","N/A","left footed shot","the box","the centre","not close"
"49","4","58903","1","Michail Antonio","West Ham United","Newcastle United","0","81","Blocked","N/A","right footed shot","outside the box","N/A","not close"
"50","5","58903","1","Andriy Yarmolenko","West Ham United","Newcastle United","0","80","Blocked","N/A","left footed shot","outside the box","N/A","not close"
"51","6","58903","1","Jonjo Shelvey","Newcastle United","West Ham United","0","78","Blocked","Joelinton","right footed shot","outside the box","N/A","not close"
"52","7","58903","1","Joelinton","Newcastle United","West Ham United","0","78","Blocked","Jonjo Shelvey","right footed shot","outside the box","N/A","not close"
"53","8","58903","1","Tomas Soucek","West Ham United","Newcastle United","0","68","Blocked","Sebastien Haller","right footed shot","very close range","N/A","not close"
"54","9","58903","1","Michail Antonio","West Ham United","Newcastle United","0","44","Blocked","Ryan Fredericks","right footed shot","outside the box","N/A","not close"
"55","10","58903","1","Pablo Fornals","West Ham United","Newcastle United","0","34","Blocked","N/A","right footed shot","the box","the centre","not close"
"56","11","58903","1","Michail Antonio","West Ham United","Newcastle United","0","33","Blocked","Declan Rice","right footed shot","the box","the left","not close"
"57","12","58903","1","Andy Carroll","Newcastle United","West Ham United","0","32","Blocked","Jonjo Shelvey","right footed shot","the box","the centre","not close"
"58","13","58903","1","Tomas Soucek","West Ham United","Newcastle United","0","31","Blocked","Michail Antonio","left footed shot","outside the box","N/A","not close"
"59","14","58903","1","Jonjo Shelvey","Newcastle United","West Ham United","0","23","Blocked","N/A","right footed shot","outside the box","N/A","not close"
"60","15","58903","1","Andy Carroll","Newcastle United","West Ham United","0","17","Blocked","Callum Wilson","right footed shot","the box","the centre","not close"
"61","16","58903","1","Andriy Yarmolenko","West Ham United","Newcastle United","0","90+3","Saved","Tomas Soucek","left footed shot","the box","the right","close"
"62","17","58903","1","Sebastien Haller","West Ham United","Newcastle United","0","83","Saved","Ryan Fredericks","header","the box","the centre","close"
"63","18","58903","1","Michail Antonio","West Ham United","Newcastle United","0","27","Saved","Tomas Soucek","right footed shot","the box","the left","close"
"64","19","58903","1","Andriy Yarmolenko","West Ham United","Newcastle United","0","79","Miss","Ryan Fredericks","left footed shot","outside the box","N/A","not close"
"65","20","58903","1","Allan Saint-Maximin","Newcastle United","West Ham United","0","75","Miss","Andy Carroll","right footed shot","outside the box","N/A","not close"
"66","21","58903","1","Sebastien Haller","West Ham United","Newcastle United","0","68","Miss","N/A","right footed shot","the six yard box","the right","not close"
"67","22","58903","1","Callum Wilson","Newcastle United","West Ham United","0","39","Miss","Jamal Lewis","right footed shot","a difficult angle","the left","close"
"68","23","58903","1","Jarrod Bowen","West Ham United","Newcastle United","0","38","Miss","Ryan Fredericks","right footed shot","the box","the centre","not close"
"69","24","58903","1","Andy Carroll","Newcastle United","West Ham United","0","36","Miss","Javier Manquillo","header","the box","the centre","not close"
"70","25","58903","1","Jonjo Shelvey","Newcastle United","West Ham United","0","31","Miss","Callum Wilson","right footed shot","the box","the right","close"
"71","26","58903","1","Tomas Soucek","West Ham United","Newcastle United","0","29","Miss","Ryan Fredericks","header","the box","the centre","close"
"72","27","58903","1","Andy Carroll","Newcastle United","West Ham United","0","25","Miss","Jonjo Shelvey","header","the box","the centre","close"
"73","28","58903","1","Callum Wilson","Newcastle United","West Ham United","0","21","Miss","Jamal Lewis","left footed shot","the box","the centre","close"
"74","29","58903","1","Callum Wilson","Newcastle United","West Ham United","0","4","Miss","Jamal Lewis","header","the box","the centre","not close"
"75","0","58904","1","Kurt Zouma","Chelsea","Brighton and Hove Albion","2","66","Goal","Reece James","right footed shot","the box","the centre","close"
"76","1","58904","1","Reece James","Chelsea","Brighton and Hove Albion","2","56","Goal","Jorginho","right footed shot","outside the box","N/A","close"
"77","2","58904","1","Leandro Trossard","Brighton and Hove Albion","Chelsea","-2","54","Goal","Tariq Lamptey","left footed shot","outside the box","N/A","close"
"78","3","58904","1","Jorginho","Chelsea","Brighton and Hove Albion","2","23","Goal","N/A","right footed shot","penalty","N/A","close"
"79","4","58904","1","Timo Werner","Chelsea","Brighton and Hove Albion","2","77","Blocked","Ross Barkley","right footed shot","the box","the right","not close"
"80","5","58904","1","Timo Werner","Chelsea","Brighton and Hove Albion","2","64","Blocked","Reece James","right footed shot","the box","the centre","not close"
"81","6","58904","1","Tariq Lamptey","Brighton and Hove Albion","Chelsea","-2","49","Blocked","Adam Webster","right footed shot","the box","the right","not close"
"82","7","58904","1","Aaron Connolly","Brighton and Hove Albion","Chelsea","-2","48","Blocked","Steven Alzate","right footed shot","the box","the left","not close"
"83","8","58904","1","Solly March","Brighton and Hove Albion","Chelsea","-2","35","Blocked","N/A","left footed shot","the box","the left","not close"
"84","9","58904","1","Timo Werner","Chelsea","Brighton and Hove Albion","2","25","Blocked","Kai Havertz","right footed shot","the box","the right","not close"
"85","10","58904","1","Steven Alzate","Brighton and Hove Albion","Chelsea","-2","25","Blocked","Adam Lallana","right footed shot","outside the box","N/A","not close"
"86","11","58904","1","Ross Barkley","Chelsea","Brighton and Hove Albion","2","90+4","Saved","Timo Werner","right footed shot","outside the box","N/A","close"
"87","12","58904","1","Aaron Connolly","Brighton and Hove Albion","Chelsea","-2","80","Saved","N/A","right footed shot","outside the box","N/A","close"
"88","13","58904","1","Timo Werner","Chelsea","Brighton and Hove Albion","2","45+2","Saved","Mason Mount","left footed shot","a difficult angle","the left","close"
"89","14","58904","1","Steven Alzate","Brighton and Hove Albion","Chelsea","-2","35","Saved","Adam Lallana","right footed shot","outside the box","N/A","close"
"90","15","58904","1","Lewis Dunk","Brighton and Hove Albion","Chelsea","-2","59","Miss","Leandro Trossard","header","the six yard box","the left","close"
"91","16","58904","1","Aaron Connolly","Brighton and Hove Albion","Chelsea","-2","47","Miss","Solly March","an attempt","the six yard box","the left","close"
"92","17","58904","1","Mason Mount","Chelsea","Brighton and Hove Albion","2","45+3","Miss","Jorginho","right footed shot","outside the box","N/A","not close"
"93","18","58904","1","Yves Bissouma","Brighton and Hove Albion","Chelsea","-2","36","Miss","Leandro Trossard","right footed shot","outside the box","N/A","not close"
"94","19","58904","1","Neal Maupay","Brighton and Hove Albion","Chelsea","-2","26","Miss","Tariq Lamptey","an attempt","the box","the centre","not close"
"95","20","58904","1","Timo Werner","Chelsea","Brighton and Hove Albion","2","19","Miss","Mason Mount","header","the box","the centre","not close"
"96","21","58904","1","Yves Bissouma","Brighton and Hove Albion","Chelsea","-2","15","Miss","N/A","left footed shot","the box","the left","not close"
"97","22","58904","1","Adam Webster","Brighton and Hove Albion","Chelsea","-2","5","Miss","Steven Alzate","right footed shot","outside the box","N/A","not close"
"98","0","58905","1","Romain Saiss","Wolverhampton Wanderers","Sheffield United","0","6","Goal","Pedro Neto","header","the box","the centre","close"
"99","1","58905","1","Raul Jimenez","Wolverhampton Wanderers","Sheffield United","0","3","Goal","Daniel Podence","right footed shot","the box","the centre","close"
"100","2","58905","1","Raul Jimenez","Wolverhampton Wanderers","Sheffield United","0","84","Woodwork","Joao Moutinho","header","the six yard box","the right","close"
"101","3","58905","1","John Fleck","Sheffield United","Wolverhampton Wanderers","0","51","Woodwork","John Lundstram","left footed shot","the box","the left","close"
"102","4","58905","1","Oliver McBurnie","Sheffield United","Wolverhampton Wanderers","0","90+2","Blocked","Sander Berge","header","the box","the centre","not close"
"103","5","58905","1","Adama Traore","Wolverhampton Wanderers","Sheffield United","0","90","Blocked","Ruben Neves","right footed shot","outside the box","N/A","not close"
"104","6","58905","1","Adama Traore","Wolverhampton Wanderers","Sheffield United","0","83","Blocked","N/A","right footed shot","outside the box","N/A","not close"
"105","7","58905","1","David McGoldrick","Sheffield United","Wolverhampton Wanderers","0","75","Blocked","John Lundstram","right footed shot","outside the box","N/A","not close"
"106","8","58905","1","George Baldock","Sheffield United","Wolverhampton Wanderers","0","51","Blocked","N/A","right footed shot","the box","the right","not close"
"107","9","58905","1","Romain Saiss","Wolverhampton Wanderers","Sheffield United","0","70","Saved","N/A","left footed shot","the box","the left","close"
"108","10","58905","1","Oliver McBurnie","Sheffield United","Wolverhampton Wanderers","0","38","Saved","Oliver Norwood","header","the box","the centre","close"
"109","11","58905","1","Raul Jimenez","Wolverhampton Wanderers","Sheffield United","0","6","Saved","Leander Dendoncker","right footed shot","the box","the centre","close"
"110","12","58905","1","Oliver McBurnie","Sheffield United","Wolverhampton Wanderers","0","90+4","Miss","John Fleck","header","the box","the centre","not close"
"111","13","58905","1","John Egan","Sheffield United","Wolverhampton Wanderers","0","88","Miss","John Fleck","header","the box","the centre","close"
"112","14","58905","1","Adama Traore","Wolverhampton Wanderers","Sheffield United","0","75","Miss","Joao Moutinho","right footed shot","outside the box","N/A","close"
"113","15","58905","1","Billy Sharp","Sheffield United","Wolverhampton Wanderers","0","72","Miss","George Baldock","right footed shot","very close range","N/A","close"
"114","16","58905","1","Raul Jimenez","Wolverhampton Wanderers","Sheffield United","0","70","Miss","N/A","left footed shot","the box","the centre","close"
"115","17","58905","1","Romain Saiss","Wolverhampton Wanderers","Sheffield United","0","53","Miss","Joao Moutinho","header","the box","the centre","not close"
"116","18","58905","1","Enda Stevens","Sheffield United","Wolverhampton Wanderers","0","47","Miss","Oliver McBurnie","left footed shot","a difficult angle","the left","not close"
"117","19","58905","1","Raul Jimenez","Wolverhampton Wanderers","Sheffield United","0","24","Miss","Joao Moutinho","left footed shot","outside the box","N/A","close"
"118","0","58906","2","Eddie Nketiah","Arsenal","West Ham United","1","85","Goal","Dani Ceballos","right footed shot","the box","the centre","close"
"119","1","58906","2","Michail Antonio","West Ham United","Arsenal","-1","45","Goal","Ryan Fredericks","right footed shot","very close range","N/A","close"
"120","2","58906","2","Alexandre Lacazette","Arsenal","West Ham United","1","25","Goal","Pierre-Emerick Aubameyang","header","the box","the centre","close"
"121","3","58906","2","Michail Antonio","West Ham United","Arsenal","-1","67","Woodwork","N/A","header","the box","the centre","close"
"122","4","58906","2","Nicolas Pepe","Arsenal","West Ham United","1","90+4","Blocked","Pierre-Emerick Aubameyang","left footed shot","outside the box","N/A","not close"
"123","5","58906","2","Jarrod Bowen","West Ham United","Arsenal","-1","72","Blocked","Ryan Fredericks","left footed shot","outside the box","N/A","not close"
"124","6","58906","2","Jarrod Bowen","West Ham United","Arsenal","-1","68","Blocked","N/A","left footed shot","outside the box","N/A","not close"
"125","7","58906","2","Jarrod Bowen","West Ham United","Arsenal","-1","67","Blocked","N/A","left footed shot","outside the box","N/A","not close"
"126","8","58906","2","Michail Antonio","West Ham United","Arsenal","-1","67","Blocked","N/A","right footed shot","the box","the centre","not close"
"127","9","58906","2","Michail Antonio","West Ham United","Arsenal","-1","65","Blocked","Pablo Fornals","right footed shot","outside the box","N/A","not close"
"128","10","58906","2","Bukayo Saka","Arsenal","West Ham United","1","47","Blocked","Pierre-Emerick Aubameyang","left footed shot","the box","the left","not close"
"129","11","58906","2","Dani Ceballos","Arsenal","West Ham United","1","40","Blocked","Bukayo Saka","right footed shot","the box","the centre","not close"
"130","12","58906","2","Declan Rice","West Ham United","Arsenal","-1","7","Blocked","Aaron Cresswell","right footed shot","outside the box","N/A","not close"
"131","13","58906","2","Pierre-Emerick Aubameyang","Arsenal","West Ham United","1","90+1","Saved","N/A","right footed shot","outside the box","N/A","close"
"132","14","58906","2","Angelo Ogbonna","West Ham United","Arsenal","-1","5","Saved","Declan Rice","header","the box","the centre","close"
"133","15","58906","2","Tomas Soucek","West Ham United","Arsenal","-1","88","Miss","Declan Rice","header","the six yard box","the left","not close"
"134","16","58906","2","Tomas Soucek","West Ham United","Arsenal","-1","72","Miss","N/A","right footed shot","outside the box","N/A","not close"
"135","17","58906","2","Jarrod Bowen","West Ham United","Arsenal","-1","61","Miss","Tomas Soucek","right footed shot","the box","the centre","not close"
"136","18","58906","2","Michail Antonio","West Ham United","Arsenal","-1","53","Miss","Arthur Masuaku","right footed shot","very close range","N/A","close"
"137","19","58906","2","Arthur Masuaku","West Ham United","Arsenal","-1","51","Miss","Aaron Cresswell","left footed shot","outside the box","N/A","not close"
"138","20","58906","2","Bukayo Saka","Arsenal","West Ham United","1","30","Miss","Willian","left footed shot","the box","the left","not close"
"139","0","58907","2","Ezri Konsa Ngoyo","Aston Villa","Sheffield United","-1","63","Goal","Tyrone Mings","header","the six yard box","the right","close"
"140","1","58907","2","Jack Grealish","Aston Villa","Sheffield United","-1","90+2","Blocked","Ollie Watkins","left footed shot","the box","the centre","not close"
"141","2","58907","2","Sander Berge","Sheffield United","Aston Villa","1","79","Blocked","John Lundstram","right footed shot","the box","the right","not close"
"142","3","58907","2","Douglas Luiz","Aston Villa","Sheffield United","-1","78","Blocked","John McGinn","right footed shot","outside the box","N/A","not close"
"143","4","58907","2","Matthew Cash","Aston Villa","Sheffield United","-1","50","Blocked","Douglas Luiz","right footed shot","outside the box","N/A","not close"
"144","5","58907","2","Matthew Cash","Aston Villa","Sheffield United","-1","28","Blocked","Jack Grealish","right footed shot","outside the box","N/A","not close"
"145","6","58907","2","Ollie Watkins","Aston Villa","Sheffield United","-1","21","Blocked","Matthew Cash","header","the box","the centre","not close"
"146","7","58907","2","John Lundstram","Sheffield United","Aston Villa","1","36","Saved","N/A","right footed shot","penalty","N/A","close"
"147","8","58907","2","Douglas Luiz","Aston Villa","Sheffield United","-1","23","Saved","Trezeguet","header","the box","the centre","close"
"148","9","58907","2","Douglas Luiz","Aston Villa","Sheffield United","-1","90+3","Miss","Keinan Davis","right footed shot","outside the box","N/A","not close"
"149","10","58907","2","Sander Berge","Sheffield United","Aston Villa","1","90","Miss","Oliver McBurnie","left footed shot","a difficult angle","the left","not close"
"150","11","58907","2","John McGinn","Aston Villa","Sheffield United","-1","85","Miss","Trezeguet","left footed shot","outside the box","N/A","not close"
"151","12","58907","2","Jack Grealish","Aston Villa","Sheffield United","-1","81","Miss","John McGinn","right footed shot","the box","the centre","close"
"152","13","58907","2","Ollie Watkins","Aston Villa","Sheffield United","-1","78","Miss","John McGinn","right footed shot","the box","the left","not close"
"153","14","58907","2","Trezeguet","Aston Villa","Sheffield United","-1","77","Miss","Jack Grealish","right footed shot","the box","the right","not close"
"154","15","58907","2","Ethan Ampadu","Sheffield United","Aston Villa","1","72","Miss","N/A","right footed shot","outside the box","N/A","not close"
"155","16","58907","2","Jack Grealish","Aston Villa","Sheffield United","-1","68","Miss","Ollie Watkins","right footed shot","outside the box","N/A","close"
"156","17","58907","2","Ollie Watkins","Aston Villa","Sheffield United","-1","55","Miss","Trezeguet","header","the box","the centre","not close"
"157","18","58907","2","Trezeguet","Aston Villa","Sheffield United","-1","45+5","Miss","Conor Hourihane","right footed shot","the six yard box","the right","not close"
"158","19","58907","2","Conor Hourihane","Aston Villa","Sheffield United","-1","41","Miss","Jack Grealish","left footed shot","outside the box","N/A","not close"
"159","20","58907","2","Tyrone Mings","Aston Villa","Sheffield United","-1","4","Miss","Conor Hourihane","header","the box","the centre","not close"
"160","21","58907","2","John McGinn","Aston Villa","Sheffield United","-1","2","Miss","Matthew Cash","left footed shot","a difficult angle","the left","not close"
"161","0","58908","2","Sadio Mane","Liverpool","Chelsea","1","54","Goal","N/A","right footed shot","the box","the centre","close"
"162","1","58908","2","Sadio Mane","Liverpool","Chelsea","1","50","Goal","Roberto Firmino","header","the box","the centre","close"
"163","2","58908","2","Andrew Robertson","Liverpool","Chelsea","1","90","Blocked","Thiago","left footed shot","the box","the left","not close"
"164","3","58908","2","Mohamed Salah","Liverpool","Chelsea","1","61","Blocked","N/A","left footed shot","outside the box","N/A","not close"
"165","4","58908","2","Mohamed Salah","Liverpool","Chelsea","1","19","Blocked","Roberto Firmino","left footed shot","outside the box","N/A","not close"
"166","5","58908","2","Roberto Firmino","Liverpool","Chelsea","1","14","Blocked","Mohamed Salah","right footed shot","the six yard box","the right","not close"
"167","6","58908","2","Mohamed Salah","Liverpool","Chelsea","1","90+3","Saved","N/A","left footed shot","the box","the left","close"
"168","7","58908","2","Sadio Mane","Liverpool","Chelsea","1","90+2","Saved","Mohamed Salah","left footed shot","outside the box","N/A","close"
"169","8","58908","2","Tammy Abraham","Chelsea","Liverpool","-1","84","Saved","Timo Werner","right footed shot","the box","the left","close"
"170","9","58908","2","Kurt Zouma","Chelsea","Liverpool","-1","75","Saved","N/A","header","the box","the centre","close"
"171","10","58908","2","Jorginho","Chelsea","Liverpool","-1","75","Saved","N/A","right footed shot","penalty","N/A","close"
"172","11","58908","2","Georginio Wijnaldum","Liverpool","Chelsea","1","66","Saved","Roberto Firmino","right footed shot","the box","the right","close"
"173","12","58908","2","Georginio Wijnaldum","Liverpool","Chelsea","1","90+3","Miss","N/A","right footed shot","very close range","N/A","close"
"174","13","58908","2","Trent Alexander-Arnold","Liverpool","Chelsea","1","90+3","Miss","Mohamed Salah","right footed shot","outside the box","N/A","close"
"175","14","58908","2","Thiago","Liverpool","Chelsea","1","82","Miss","N/A","right footed shot","outside the box","N/A","close"
"176","15","58908","2","Trent Alexander-Arnold","Liverpool","Chelsea","1","79","Miss","Mohamed Salah","right footed shot","outside the box","N/A","close"
"177","16","58908","2","Mason Mount","Chelsea","Liverpool","-1","68","Miss","Marcos Alonso","right footed shot","outside the box","N/A","not close"
"178","17","58908","2","Trent Alexander-Arnold","Liverpool","Chelsea","1","45+2","Miss","N/A","right footed shot","outside the box","N/A","close"
"179","18","58908","2","Andrew Robertson","Liverpool","Chelsea","1","36","Miss","Jordan Henderson","left footed shot","the box","the left","not close"
"180","19","58908","2","Mohamed Salah","Liverpool","Chelsea","1","34","Miss","Trent Alexander-Arnold","left footed shot","a difficult angle","the left","not close"
"181","20","58908","2","Timo Werner","Chelsea","Liverpool","-1","32","Miss","N/A","left footed shot","outside the box","N/A","close"
"182","21","58908","2","Georginio Wijnaldum","Liverpool","Chelsea","1","14","Miss","Trent Alexander-Arnold","right footed shot","the box","the centre","not close"
"183","22","58908","2","Georginio Wijnaldum","Liverpool","Chelsea","1","12","Miss","Mohamed Salah","right footed shot","outside the box","N/A","close"
"184","0","58909","2","Dominic Calvert-Lewin","Everton","West Bromwich Albion","1","66","Goal","James Rodriguez","header","the box","the centre","close"
"185","1","58909","2","Dominic Calvert-Lewin","Everton","West Bromwich Albion","1","62","Goal","Richarlison","right footed shot","very close range","N/A","close"
"186","2","58909","2","Michael Keane","Everton","West Bromwich Albion","1","54","Goal","N/A","left footed shot","very close range","N/A","close"
"187","3","58909","2","Matheus Pereira","West Bromwich Albion","Everton","-1","47","Goal","N/A","left footed shot","long range","N/A","close"
"188","4","58909","2","James Rodriguez","Everton","West Bromwich Albion","1","45","Goal","Richarlison","left footed shot","outside the box","N/A","close"
"189","5","58909","2","Dominic Calvert-Lewin","Everton","West Bromwich Albion","1","31","Goal","N/A","right footed shot","very close range","N/A","close"
"190","6","58909","2","Grady Diangana","West Bromwich Albion","Everton","-1","10","Goal","Matheus Pereira","left footed shot","outside the box","N/A","close"
"191","7","58909","2","Lucas Digne","Everton","West Bromwich Albion","1","66","Blocked","N/A","left footed shot","outside the box","N/A","not close"
"192","8","58909","2","Richarlison","Everton","West Bromwich Albion","1","28","Blocked","Michael Keane","left footed shot","the box","the centre","not close"
"193","9","58909","2","Jake Livermore","West Bromwich Albion","Everton","-1","22","Blocked","Callum Robinson","right footed shot","the box","the centre","not close"
"194","10","58909","2","Dominic Calvert-Lewin","Everton","West Bromwich Albion","1","15","Blocked","N/A","right footed shot","the six yard box","the left","not close"
"195","11","58909","2","Richarlison","Everton","West Bromwich Albion","1","11","Blocked","N/A","right footed shot","the box","the centre","not close"
"196","12","58909","2","Dominic Calvert-Lewin","Everton","West Bromwich Albion","1","11","Blocked","Lucas Digne","header","the box","the centre","not close"
"197","13","58909","2","Richarlison","Everton","West Bromwich Albion","1","54","Saved","Lucas Digne","header","the box","the centre","close"
"198","14","58909","2","Callum Robinson","West Bromwich Albion","Everton","-1","18","Saved","Kieran Gibbs","right footed shot","outside the box","N/A","close"
"199","15","58909","2","Allan","Everton","West Bromwich Albion","1","17","Saved","Lucas Digne","right footed shot","outside the box","N/A","close"
"200","16","58909","2","Grady Diangana","West Bromwich Albion","Everton","-1","1","Saved","Callum Robinson","left footed shot","the box","the left","close"
"201","17","58909","2","Richarlison","Everton","West Bromwich Albion","1","89","Miss","Lucas Digne","header","the box","the centre","not close"
"202","18","58909","2","Moise Kean","Everton","West Bromwich Albion","1","84","Miss","Gylfi Sigurdsson","left footed shot","outside the box","N/A","close"
"203","19","58909","2","Michael Keane","Everton","West Bromwich Albion","1","29","Miss","Lucas Digne","header","the box","the centre","not close"
"204","20","58909","2","Richarlison","Everton","West Bromwich Albion","1","26","Miss","Andre Gomes","left footed shot","the box","the left","not close"
"205","21","58909","2","Jake Livermore","West Bromwich Albion","Everton","-1","7","Miss","N/A","left footed shot","outside the box","N/A","not close"
"206","22","58909","2","Dominic Calvert-Lewin","Everton","West Bromwich Albion","1","3","Miss","James Rodriguez","header","the six yard box","the left","close"
"207","0","58910","2","Aleksandar Mitrovic","Fulham","Leeds United","0","67","Goal","Kenny Tete","header","the box","the centre","close"
"208","1","58910","2","Bobby De Cordova-Reid","Fulham","Leeds United","0","62","Goal","Andre-Frank Zambo Anguissa","right footed shot","the box","the right","close"
"209","2","58910","2","Helder Costa","Leeds United","Fulham","0","57","Goal","Patrick Bamford","left footed shot","the box","the centre","close"
