"shots_detailID","TableIndex","MatchID","GameWeek","Player","ForTeam","AgainstTeam","RelativeStrength","Time","ShotOutcome","AssistedBy","ShotType","ShotPosition","ShotSide","Close"
"2179","24","58992","10","Gabriel Jesus","Manchester City","Burnley","2","26","Miss","Riyad Mahrez","header","the box","the centre","close"
"2180","25","58992","10","Ilkay Gundogan","Manchester City","Burnley","2","24","Miss","N/A","right footed shot","outside the box","N/A","not close"
"2181","26","58992","10","Kyle Walker","Manchester City","Burnley","2","19","Miss","Riyad Mahrez","right footed shot","outside the box","N/A","not close"
"2182","27","58992","10","Ferran Torres","Manchester City","Burnley","2","5","Miss","Ilkay Gundogan","left footed shot","outside the box","N/A","close"
"2183","0","58993","10","Edinson Cavani","Manchester United","Southampton","1","90+2","Goal","Marcus Rashford","header","the box","the centre","close"
"2184","1","58993","10","Edinson Cavani","Manchester United","Southampton","1","74","Goal","N/A","header","the box","the centre","close"
"2185","2","58993","10","Bruno Fernandes","Manchester United","Southampton","1","60","Goal","Edinson Cavani","right footed shot","the box","the centre","close"
"2186","3","58993","10","James Ward-Prowse","Southampton","Manchester United","-1","33","Goal","N/A","right footed shot","long range","N/A","close"
"2187","4","58993","10","Jan Bednarek","Southampton","Manchester United","-1","23","Goal","James Ward-Prowse","header","the six yard box","the left","close"
"2188","5","58993","10","Stuart Armstrong","Southampton","Manchester United","-1","67","Blocked","N/A","right footed shot","outside the box","N/A","not close"
"2189","6","58993","10","Edinson Cavani","Manchester United","Southampton","1","56","Blocked","N/A","right footed shot","the box","the centre","not close"
"2190","7","58993","10","Fred","Manchester United","Southampton","1","45","Blocked","N/A","right footed shot","outside the box","N/A","not close"
"2191","8","58993","10","Harry Maguire","Manchester United","Southampton","1","45","Blocked","Alex Telles","header","the box","the centre","not close"
"2192","9","58993","10","Kyle Walker-Peters","Southampton","Manchester United","-1","27","Blocked","Che Adams","right footed shot","the box","the right","not close"
"2193","10","58993","10","Bruno Fernandes","Manchester United","Southampton","1","16","Blocked","Marcus Rashford","right footed shot","outside the box","N/A","not close"
"2194","11","58993","10","Marcus Rashford","Manchester United","Southampton","1","52","Saved","Bruno Fernandes","right footed shot","the box","the left","close"
"2195","12","58993","10","Theo Walcott","Southampton","Manchester United","-1","49","Saved","Kyle Walker-Peters","right footed shot","outside the box","N/A","close"
"2196","13","58993","10","Theo Walcott","Southampton","Manchester United","-1","48","Saved","Moussa Djenepo","right footed shot","the box","the right","close"
"2197","14","58993","10","Moussa Djenepo","Southampton","Manchester United","-1","35","Saved","Che Adams","right footed shot","outside the box","N/A","close"
"2198","15","58993","10","Bruno Fernandes","Manchester United","Southampton","1","30","Saved","N/A","right footed shot","the box","the centre","close"
"2199","16","58993","10","Mason Greenwood","Manchester United","Southampton","1","30","Saved","N/A","left footed shot","outside the box","N/A","close"
"2200","17","58993","10","Bruno Fernandes","Manchester United","Southampton","1","90+5","Miss","Marcus Rashford","right footed shot","the box","the centre","not close"
"2201","18","58993","10","Bruno Fernandes","Manchester United","Southampton","1","90+1","Miss","Fred","right footed shot","outside the box","N/A","not close"
"2202","19","58993","10","Che Adams","Southampton","Manchester United","-1","79","Miss","N/A","right footed shot","the box","the centre","close"
"2203","20","58993","10","Bruno Fernandes","Manchester United","Southampton","1","74","Miss","Fred","right footed shot","outside the box","N/A","not close"
"2204","21","58993","10","Edinson Cavani","Manchester United","Southampton","1","69","Miss","Aaron Wan-Bissaka","header","the box","the centre","close"
"2205","22","58993","10","Ryan Bertrand","Southampton","Manchester United","-1","68","Miss","N/A","left footed shot","outside the box","N/A","not close"
"2206","23","58993","10","Moussa Djenepo","Southampton","Manchester United","-1","63","Miss","James Ward-Prowse","left footed shot","the box","the centre","not close"
